Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,areas,"alanları doldurmak, koruma alanları, sağlık hizmetleri alanı",isim,B1,,Most people live in urban areas.,Çoğu kişi kentsel alanlarda yaşar.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,argue,"tartışmak, çekişmek, göstergesi olmak",fiil,B1,,Don't argue with me.,Benimle tartışma.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,argument,"argüman, tartışma, sav",isim,B2,,It was a fair argument.,Adil bir argümandı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,aries,"koç, koç burcu, balık ve boğa takımyıldızları arasında yer alan koç takımyıldızı",isim,B1,,The investigation highlighted the critical role of aries.,Soruşturma koç kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,arise,"arose - arisen, kaynaklanmak, kalkmak",fiil,B1,,Fatal errors arise from carelessness.,Ölümcül hatalar dikkatsizlikten ortaya çıkar.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,arms,"koyun, kucak, silahlar",isim,B1,,Let go of my arms.,Kollarımı bırak.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,around,"sularında, çevrede, etrafında",edat,B1,,I move around a lot.,Ben çok gezinirim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,arrange,"ayarlamak, düzenlemek, hazırlanmak",fiil,B2,,I'll arrange a meeting.,Bir görüşme ayarlarım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,arrival,"varış, varma, geliş",sıfat,B2,,What's our arrival time?,Bizim varış saatimiz nedir?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,arrive,"varmak, ulaşmak, başarmak",sıfat,B1,,Will we arrive in time?,Zamanında varır mıyız?
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,art,"sanat, beceri, maharet",isim,A1,,I'm an art student.,Ben bir sanat öğrencisiyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,arteries,arterler,isim,B2,,"Fortunately, the shark bite didn't hit any major arteries.","Neyse ki, köpekbalığı ısırığı herhangi bir büyük artere isabet etmedi."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,artist,"artist, sanatkar, sanatçı",isim,B1,,He's a con artist.,O bir düzenbaz.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,artists,sanatçılar,isim,B2,,Many famous artists live in Boston.,Boston'da birçok ünlü sanatçı yaşıyor.
Kütüphane: Bağlaçlar & Edatlar,Sebep ve Sonuç,as,"olarak, gibi, dahi",bağlaç,B1,,Do as I tell you.,Sana söylediğim gibi yap.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,ascend,"çıkmak, artmak, tahta çıkmak",fiil,B1,,The airplane ascended to four thousand feet.,Uçak dört bin feet irtifaya çıktı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,aside,"bertaraf, ayrı, bir kenara",isim,B1,,Lay this aside for me.,Bunu benim için bir yana koy.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,asleep,"uyuyan, tembel, uyuşuk",sıfat,B1,,I'm not asleep yet.,Henüz uyumuyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,aspect,"hal, taraf, yön",isim,B1,,I love every aspect of the game.,Oyunun her yönünü seviyorum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,assemble,"toplaşmak, parçaları birleştirmek, birleşmek",fiil,B2,,This bookcase is easy to assemble.,Bu kitaplığın montajı kolaydır.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,assess,"değer biçmek, hesaplamak, incelemek",fiil,B1,,We'll assess the situation.,Durumu değerlendireceğiz.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,assessing,"değerleme, değerlendirme",isim,B2,,We're now assessing the situation.,Biz şimdi durumu değerlendiriyoruz.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,assist,"yardım etmek, asistanlık yapmak, asiste etmek",isim,B1,,I'm here to assist you.,Size yardımcı olmak için buradayım.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,associate,"ilişkilendirmek, birleştirmek, iş arkadaşı",fiil,B2,,He was my business associate.,"O, benim iş ortağımdı."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,assortment,"karışım, ayırma, çeşitlilik",isim,C1,,The investigation highlighted the critical role of assortment.,Soruşturma karışım kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,astronomers,astronomlar,isim,C1,,Ancient astronomers noticed constellations and gave them names.,Eski astronomlar takımyıldızları fark ettiler ve onlara isimler verdiler.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",astrophysics,"gökfiziği, astrofizik, gök fiziği",isim,C1,,The investigation highlighted the critical role of astrophysics.,Soruşturma gökfiziği kavramının kritik rolünü vurguladı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,at,"üzere, nezdinde, üzerinde",edat,A1,,I'm at Tom's.,Tom'lardayım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,athletes,"atletler, sporcular",isim,B2,,Some athletes sweat more than others.,Bazı sporcular diğerlerinden daha fazla terler.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,ative,"-den, ilgili anlamı veren son ek, ilişkili anlamı veren son ek",sıfat,B1,,The empirical results of the study were remarkably ative.,Çalışmanın ampirik sonuçlarının son derece -den olduğu görüldü.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",atmosphere,"atmosfer, havayuvarı, gazyuvarı",isim,C1,,The moon has no atmosphere.,Ay'ın atmosferi yoktur.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,attach,"yapıştırmak, bağlamak, iliştirmek",fiil,B1,,Attach labels to all the bags.,Bütün çantalara etiketleri takın.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,attempt,"teşebbüs etmek, girişimde bulunmak, kalkışmak",fiil,B2,,His attempt ended in failure.,Onun girişimi başarısızlıkla sonuçlandı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,attempting,"girişimde bulunma, yeltenme, kalkışma",isim,C1,,I'm attempting to win here.,Burada kazanmaya çalışıyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,attempts,"bir çok girişim, çok sayıda girişim, çevirme denemeleri",isim,B2,,All of our attempts failed.,Bütün girişimlerimiz başarısız oldu.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,attention,"özen, ilgilenme, ilgi",isim,B2,,I didn't pay attention.,Önemsemedim.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),attentively,"dikkatlice, dikkatle",zarf,C1,,Listen attentively to what I say.,Söylediğimi dikkatlice dinle.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,attitude,"tutum, tavır, duruş",isim,B2,,I like Tom's attitude.,Tom'un davranışını beğenirim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,attitudes,"tutumlar, bir eşya, mal veya fikre karşı uzun süreli duygu, düşünce ve tepki",isim,B2,,Social attitudes oftentimes take generations to change.,Toplumsal tutumlar genellikle nesilleri değişime götürür.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,attract,"cezbetmek, celp etmek, çekmek",fiil,B2,,She likes to attract attention.,O dikkat çekmeyi sever.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,attractive,"cazibeli, cazip, çekici",sıfat,C1,,Do you find me attractive?,Beni çekici buluyor musun?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,audience,"izleyiciler veya dinleyiciler topluluğu, seyirci, izleyici",isim,B2,,I was in the audience.,Ben seyircinin içindeydim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,audiences,seyirciler,isim,B2,,The investigation highlighted the critical role of audiences.,Soruşturma seyirciler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",author,"yazar, yazmak, yazarı olmak",isim,B1,,I want to be an author.,Ben bir yazar olmak istiyorum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authorities,"yetkililer, makam ve merci, resmi merciler",isim,C1,,I'm going to report you to the authorities.,Seni yetkili makamlara ihbar edeceğim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authority,"yetki, otorite, bilirkişi",isim,B2,,I don't have the authority.,Benim yetkim yok.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authors,yazarlar,isim,B2,,He is one of Spain's most famous authors.,"O, İspanya'nın en ünlü yazarlarından biridir."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,automobile,"otomobil, otomobilde seyahat etmek, araba",isim,C1,,An automobile ran over him.,Bir otomobil onu ezdi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,available,"elde hazır bulunan, boş, mevcut",sıfat,B2,,A free demo is available.,Ücretsiz bir gösteri mevcuttur.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,average,"ortalama, ortalamasını bulmak, belirli bir miktar tüketmek",isim,B2,,I'm just an average guy.,Ben sadece sıradan bir erkeğim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,avoid,"önlemek, kaçınmak, sakınmak",fiil,B1,,You can't avoid it.,Bunu önleyemezsin.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,avoided,"kaçınılmak, karaya oturma tehlikesi nedeniyle kaçınılması gereken bölge",fiil,B2,,This can't be avoided.,Bu kaçınılamaz.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,aware,"haberdar, farkında, vakıf",sıfat,B1,,I'm aware of it.,Ben bunun farkındayım.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",awareness,"farkındalık, bilinçlenme, farkında olma",isim,B2,knowledge,Developing political awareness takes time.,Siyasi farkındalık edinmek zaman alır.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,away,"uzak, uzağa, uzakta",fiil,B1,,I won't go away.,Uzaklara gitmeyeceğim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,awful,"berbat, çok kötü, fena",sıfat,B1,,I know it's awful.,Korkunç olduğunu biliyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ax,"balta, kovmak, azaltmak",isim,B1,,He has an ax to grind.,Onun şikayeti var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,axe,"balta, kısmak, azaltmak",isim,B1,,She always has some axe to grind.,Onun her zaman bir şikâyeti vardır.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,baby,"yavru, bebek, şımartmak",isim,A1,,I'm not a baby.,Ben bir bebek değilim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,back,"art, arkalık, sırt",fiil,B1,,I can't go back.,Geri dönemem.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,background,"arka plan, fon, ardyöre",isim,C1,,I'll stay in the background.,Ben arka planda kalacağım.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,backgrounds,"şeffaf zemin, web arka planları",isim,C1,,I want to meet people from all types of backgrounds.,Her türlü kökenden insanlarla tanışmak istiyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,bad,"kötü, fena, bozuk",sıfat,A1,,He is a bad boy.,O kötü bir çocuk.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,balance,"dengede tutmak, dengelemek, bakiye",isim,B2,,I almost lost my balance.,Neredeyse dengemi kaybediyordum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,balanced,"dengeli, dengelenmiş, muvazeneli",sıfat,B2,,The budget must be balanced.,Bütçe dengeli olmalıdır.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",banks,"bankalar, alabama eyaletinde şehir",isim,B1,,I don't trust banks.,Bankalara güvenmiyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,barrage,"yoğun yaylım ateşi, yaylım ateşi, baraj",isim,B2,,The investigation highlighted the critical role of barrage.,Soruşturma yoğun yaylım ateşi kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,barrier,"set, bariyer, aperitif",isim,B2,,High tariffs have become a barrier to international trade.,Yüksek tarifeler uluslararası ticaret için bir engel haline gelmiştir.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,barriers,"engeller, radyasyon emen bariyerler",isim,B2,,We must work hard to break down social barriers.,Bizim sosyal engelleri yıkmak için çok çalışmamız gerekmektedir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,barter,"takas, takas yapmak, değiş tokuş etmek",isim,B1,,The investigation highlighted the critical role of barter.,Soruşturma takas kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,base,"dayandırmak, üs, baz",isim,B1,,Our company's base is in Tokyo.,Şirketimizin merkezi Tokyo'dadır.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,based,"esaslı, yerleşik, temeli",sıfat,B1,,This is based on fact.,Bu gerçeğe dayalıdır.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,battle,"savaş, muharebe, dövüşmek",isim,B1,,We'll win the battle.,Biz savaşı kazanacağız.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,be,"bulunmak, olmak, var olmak",fiil,B1,,Don't be a pig.,Bir aynasız olmayın.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,beach,"sahil, kumsal, plaj",isim,A1,,I went to the beach.,Sahile gittim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,bear,"dayanmak, katlanmak, taşımak",fiil,B1,,I can't bear it.,Ben buna katlanamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,bears,"bu söylediğimi doğruluyor, tekrar söylemeye değer, tekrar söylemekte fayda var",isim,B1,,I am afraid of bears.,Ayılardan korkarım.
Kütüphane: Temel Kelimeler (A1-A2),Günlük Eylemler ve Sıfatlar,beautiful,"güzel, tatlı, ahım şahım",sıfat,A1,,It's a beautiful day.,Güzel bir gün.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,became,"çok fazla büyümeden önlenmek, önünü almak/önlemek, ne oldu",fiil,B1,,I became Tom's friend.,Tom'un arkadaşı oldum.
Kütüphane: Bağlaçlar & Edatlar,Sebep ve Sonuç,because,"çünkü, -dığı için, zira",bağlaç,B2,,I came because of Tom.,Tom'dan dolayı geldim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,become,"haline gelmek, olmak, dönüşmek",fiil,B1,,What'll become of me?,Bana ne olacak?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,becomes,"boynuz kulağı geçer, ava giden avlanır, boynuz kulağı geçermiş",isim,B2,,It becomes a vicious circle.,Bir kısır döngü haline gelir.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,bed,"yatak, gömmek, oturtmak",isim,A1,,I'm off to bed.,Yatmaya gidiyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,been,"yapılan zararı telafi etmek, yapmıştır, imzalamıştır",fiil,B1,,It's been a week.,Bir hafta oldu.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,beer,"bira, arpasuyu, ingiltere'de yerleşim yeri",isim,A1,,I'd like a beer.,Bir bira istiyorum.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,before,"evvel, önce, daha önce",edat,B1,,He's done it before.,Onu daha önce yaptı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,began,"başlamadan bitmek, dünya kurulduğundan beri, taşlar yerine oturdu işte",fiil,B1,,He began a new life.,"O, yeni bir hayata başladı."
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,begin,"başlatmak, başlamak, began - begun",fiil,B1,,I'm about to begin.,Başlamak üzereyim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,beginning,"başlangıç, baş, ilk adım",isim,A1,,He's beginning to cry.,O ağlamaya başlıyor.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,behavior,"davranış, hareket tarzı, tutum",isim,B2,,Tom's behavior was bad.,Tom'un davranışı kötüydü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,behavioral,"davranışla ilgili, davranış, davranışsal",sıfat,C1,,The empirical results of the study were remarkably behavioral.,Çalışmanın ampirik sonuçlarının son derece davranışla ilgili olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,behaviors,davranışlar,isim,B2,,The investigation highlighted the critical role of behaviors.,Soruşturma davranışlar kavramının kritik rolünü vurguladı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,behind,"ardındaki, arkaya, geriye",edat,B1,,I hid behind a rock.,Bir kayanın arkasına saklandım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,being,"yapı, vücut, tanrı",isim,B1,,I'm a human being.,Ben bir insanım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,belonging,"eşya, aidiyet, ait olma",isim,B2,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,belongings,"ayniyat, özel eşya, kişisel eşyalar",isim,C1,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,below,"alttaki, aşağıdaki, altta",edat,B1,,My room is just below.,Odam tam aşağıda.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,beneath,"altında, aşağıda, aşağıdan",edat,B2,,The money was hidden beneath the floorboards.,Para döşeme tahtalarının altında gizlenmişti.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,beneficial,"yararlı, faydalı, kazançlı",sıfat,C1,,That would be very beneficial.,Bu çok yararlı olacaktı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,benefit,"yararlanmak, menfaat, çıkar",isim,B2,,This is for your benefit.,Bu senin menfaatin için.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,benefiting,"asılanma, yararlanma",isim,C1,,The investigation highlighted the critical role of benefiting.,Soruşturma asılanma kavramının kritik rolünü vurguladı.
